title,attribution,medium,objectid,iiifthumburl
Le Futur monument de Napoléon aux Invalides,Honoré Daumier,hand-colored lithograph,6163,"https://api.nga.gov/iiif/7eddb516-9df8-46a1-ba84-7111995ac63a/full/!200,200/0/default.jpg"
"Roma Camp, Greece",Jim Goldberg,3 chromogenic prints,174541,"https://api.nga.gov/iiif/5b75dba7-7682-4765-8df5-3f2702b56928/full/!200,200/0/default.jpg"
Studio Corner in the Morning with Window Light across the Floor,Sylvia Plimack Mangold,watercolor and graphite on wove paper,77820,"https://api.nga.gov/iiif/6d846253-0295-4d39-8d40-a8df462d4ff3/full/!200,200/0/default.jpg"
Untitled,Tsuneko Sasamoto,inkjet print,219452,"https://api.nga.gov/iiif/bf77abc0-b2d0-40a3-9006-50a2128d64cd/full/!200,200/0/default.jpg"
Master of the Pequod,Benton Murdoch Spruance,lithograph in three greens [trial proof],51052,"https://api.nga.gov/iiif/f70a7f2f-9916-4822-bc08-d0021eb2737d/full/!200,200/0/default.jpg"
Young Woman Seated on a Bed,Louis-Marin Bonnet after François Boucher,chalk manner printed in black and white on blue paper,106233,"https://api.nga.gov/iiif/7e6443d3-58b5-4a3e-b56e-3cbd2eef7dd7/full/!200,200/0/default.jpg"
San Giorgio,James McNeill Whistler,etching on Asian laid paper,11030,"https://api.nga.gov/iiif/00ab4d1f-f89a-460d-9ff3-ac03ba99a7f7/full/!200,200/0/default.jpg"
Eleanor,Harry Callahan,gelatin silver print,90949,"https://api.nga.gov/iiif/cd6f5547-dae7-437a-8543-7a91d625603c/full/!200,200/0/default.jpg"
"Neal Cassady & I went upstairs to attic at Millbrook estate near Poughkeepsie, big house where Tim Leary’s Castalia Foundation was then experimenting with psychedelic DMT, a half hour trip. Here Neal rests with eyes closed watched over by Susan Metzner in charge of holding the vial of clear liquid, just injected. I’d driven up from N.Y. with Kesey’s Merry Pranksters in their bus, Fall 1964.",Allen Ginsberg,gelatin silver print,143978,"https://api.nga.gov/iiif/2d265e47-bd46-4699-a965-01ab278000b1/full/!200,200/0/default.jpg"
Santa Rita - (Bulto),Majel G. Claflin,"watercolor, colored pencil, graphite, and heightening on paperboard",18980,"https://api.nga.gov/iiif/17b43775-f2cd-416f-98bb-a0b08a5c9cfd/full/!200,200/0/default.jpg"
Die Ringlpitis,"ringl + pit, Grete Stern, Ellen Auerbach","bound volume of 6 photographs, 12 collages, 8 watercolors, 6 texts, and 1 drawing",210876,"https://api.nga.gov/iiif/1c0053fa-e813-489d-abdc-e2c83d793848/full/!200,200/0/default.jpg"
Lamp,Paul Ward,"watercolor, graphite, and pen and ink on paperboard",24573,"https://api.nga.gov/iiif/69a6c50f-b057-4967-8963-94c98b0feeb4/full/!200,200/0/default.jpg"
Untitled,Leon Polk Smith,lithograph (aluminum) in black on J. Green paper,64038,"https://api.nga.gov/iiif/0a350ea4-f3f3-4fdc-855c-b59d5951a58a/full/!200,200/0/default.jpg"
Toaster,Roy Weber,watercolor and graphite on paperboard,29605,"https://api.nga.gov/iiif/df5972c5-6fa6-4026-bbcd-6928456b120f/full/!200,200/0/default.jpg"
Samson and Delilah,Albrecht Altdorfer,engraving,3608,"https://api.nga.gov/iiif/4ccd8472-e7a7-420d-b292-c336330e31a0/full/!200,200/0/default.jpg"
Pa. German Bandbox,Elmer G. Anderson,"watercolor, gouache, and graphite on paperboard",15600,"https://api.nga.gov/iiif/ada201a2-5eea-4b97-af4d-2c155f2e875b/full/!200,200/0/default.jpg"
Looking up Broadway,Howard Cook,lithograph in black on wove paper,147398,"https://api.nga.gov/iiif/0c74bdda-04e1-45c0-905a-11f1099c3368/full/!200,200/0/default.jpg"
Happy Holiday,Peggy Bacon,etching and drypoint in black,145252,"https://api.nga.gov/iiif/b4040605-4174-4819-a2fa-f43367ba3a73/full/!200,200/0/default.jpg"
Skeletons Making Music,"Hans Lützelburger after Hans Holbein the Younger
",woodcut,7769,"https://api.nga.gov/iiif/e46e99d8-9d03-4a70-80cf-d2ac6a91b334/full/!200,200/0/default.jpg"
Score for Ballet 0-100,Alexander Calder,engraving and drypoint,143187,"https://api.nga.gov/iiif/8749f595-47ed-4cd4-a716-b225c39c4771/full/!200,200/0/default.jpg"
Mountain Landscape with a Hollow,Alexander Cozens,brush drawing in brown wash on laid paper,65569,"https://api.nga.gov/iiif/d26d1ba9-7814-4a7e-9d8b-1c0d24f76d7b/full/!200,200/0/default.jpg"
On the Vimy to Lens Road,David Young Cameron,watercolor and graphite,5708,"https://api.nga.gov/iiif/5e06918b-e6cb-4639-8452-2e050db3d2e9/full/!200,200/0/default.jpg"
Girl Writer,Ralph Austin,lithograph,148623,"https://api.nga.gov/iiif/57e15461-94b3-4020-8a8a-46884c2cc50d/full/!200,200/0/default.jpg"
"Jean de Saulx, 1555-1629, Viscount of Tavanes and Lugny, and Marquess of Mirabet [obverse]",French 17th Century,bronze,45344,"https://api.nga.gov/iiif/ccd2d7b2-6119-4326-aa04-cb61e28f11a3/full/!200,200/0/default.jpg"
"From My Window at the Shelton, North",Alfred Stieglitz,gelatin silver print,36364,"https://api.nga.gov/iiif/cc3afc42-5e1a-4228-8c45-7f17f27c224c/full/!200,200/0/default.jpg"
